Country,Region,Year,Oil_Production,Oil_Consumption,Oil_Imports,Oil_Exports,Oil_Price_USD,Gas_Production,Gas_Consumption,Gas_Imports,Gas_Exports,Gas_Price_USD
Mexico,North America,2019,21.01,62.04,44.13,0.0,74.78,207.66,382.01,189.63,0.0,4.13
Mexico,North America,2020,22.22,61.01,41.83,0.0,76.2,198.0,396.26,214.11,0.0,4.19
Mexico,North America,2021,22.09,61.9,42.9,0.0,76.71,198.04,397.0,214.83,0.0,4.53
Mexico,North America,2022,22.9,65.06,45.42,0.0,78.84,199.8,406.25,222.69,0.0,5.14
Mexico,North America,2023,23.12,65.98,46.16,0.0,86.41,200.42,421.77,238.22,0.0,5.76
Mexico,North America,2024,23.67,66.33,45.98,0.0,88.04,206.64,420.26,230.43,0.0,5.73
Mexico,North America,2025,24.71,69.09,47.83,0.0,91.74,202.84,424.59,238.74,0.0,6.61
Brazil,South America,2010,35.84,64.53,31.91,0.0,78.68,273.96,402.67,144.81,0.0,5.06
Brazil,South America,2011,36.99,65.77,32.07,0.0,74.92,284.88,407.55,138.96,0.0,5.78
Brazil,South America,2012,39.06,65.24,29.44,0.0,82.76,295.53,414.47,135.51,0.0,5.28
Brazil,South America,2013,38.54,68.18,33.05,0.0,88.17,301.56,430.98,146.66,0.0,5.38
Brazil,South America,2014,40.06,68.04,31.38,0.0,86.12,308.65,426.25,134.65,0.0,4.75
Brazil,South America,2015,39.6,67.23,30.99,0.0,88.04,312.94,431.95,136.28,0.0,4.75
Brazil,South America,2016,39.85,69.32,32.93,0.0,80.09,304.89,437.53,150.14,0.0,4.12
Brazil,South America,2017,39.39,69.86,33.96,0.0,80.36,310.53,437.38,144.35,0.0,3.73
Brazil,South America,2018,37.98,70.35,35.88,0.0,71.87,319.73,451.06,149.37,0.0,4.04
Brazil,South America,2019,38.52,71.38,36.42,0.0,74.22,321.68,441.89,137.89,0.0,4.19
Brazil,South America,2020,38.02,73.45,39.1,0.0,73.68,315.36,463.55,166.73,0.0,4.49
Brazil,South America,2021,40.37,73.72,37.03,0.0,73.97,314.58,466.76,170.85,0.0,4.63
Brazil,South America,2022,40.69,75.39,38.47,0.0,78.39,318.8,466.29,166.14,0.0,5.51
Brazil,South America,2023,41.46,75.95,38.29,0.0,82.51,316.81,484.91,187.5,0.0,5.99
Brazil,South America,2024,43.55,79.24,39.65,0.0,86.33,321.67,502.17,200.59,0.0,5.67
Brazil,South America,2025,44.89,79.75,38.86,0.0,87.07,324.21,505.51,201.51,0.0,6.28
Argentina,South America,2010,14.22,51.39,39.74,0.0,75.69,143.01,325.82,195.84,0.0,5.35
Argentina,South America,2011,14.47,52.6,40.77,0.0,81.07,145.21,330.92,198.95,0.0,5.73
Argentina,South America,2012,15.48,53.26,40.45,0.0,82.46,151.15,331.11,193.2,0.0,5.59
Argentina,South America,2013,15.67,53.32,40.31,0.0,84.94,154.24,337.26,196.51,0.0,5.48
Argentina,South America,2014,15.06,53.14,40.74,0.0,84.26,151.93,332.88,194.26,0.0,5.11
Argentina,South America,2015,15.39,54.53,41.86,0.0,84.94,159.52,351.95,206.51,0.0,4.91
Argentina,South America,2016,15.37,54.33,41.68,0.0,80.8,156.41,344.16,201.51,0.0,4.16
Argentina,South America,2017,15.44,56.62,44.01,0.0,77.68,154.83,356.14,215.56,0.0,4.16
Argentina,South America,2018,15.22,54.98,42.5,0.0,76.27,160.22,356.22,210.26,0.0,3.69
Argentina,South America,2019,15.23,57.41,45.05,0.0,76.6,157.35,365.01,222.27,0.0,4.37
Argentina,South America,2020,15.57,57.15,44.44,0.0,77.9,160.22,367.35,221.82,0.0,4.38
Argentina,South America,2021,16.0,59.65,46.63,0.0,76.3,162.58,383.94,236.72,0.0,4.71
Argentina,South America,2022,16.75,60.11,46.37,0.0,79.49,159.58,380.86,236.51,0.0,4.93
Argentina,South America,2023,16.53,60.58,47.08,0.0,81.74,157.63,385.8,243.59,0.0,6.15
Argentina,South America,2024,17.6,62.8,48.34,0.0,86.13,163.47,393.49,245.76,0.0,6.21
Argentina,South America,2025,17.73,64.63,50.13,0.0,91.09,168.32,397.85,245.45,0.0,7.25
United Kingdom,Europe,2010,17.8,54.72,39.66,0.0,74.86,227.55,375.53,163.0,0.0,5.66
United Kingdom,Europe,2011,18.05,54.83,39.52,0.0,82.03,231.1,382.34,166.53,0.0,5.79
United Kingdom,Europe,2012,18.6,55.46,39.63,0.0,78.33,239.21,389.4,165.77,0.0,5.46
United Kingdom,Europe,2013,18.37,54.65,39.02,0.0,83.43,250.64,394.53,159.67,0.0,4.9
United Kingdom,Europe,2014,18.17,55.72,40.33,0.0,84.56,258.81,397.26,154.34,0.0,5.04
United Kingdom,Europe,2015,18.51,56.3,40.61,0.0,87.09,253.01,399.4,162.36,0.0,4.65
United Kingdom,Europe,2016,19.01,56.51,40.32,0.0,80.6,257.77,412.25,170.97,0.0,4.03
United Kingdom,Europe,2017,19.08,57.43,41.22,0.0,83.92,260.42,406.8,162.65,0.0,4.07
United Kingdom,Europe,2018,18.75,59.37,43.59,0.0,76.48,253.67,409.17,171.87,0.0,4.07
United Kingdom,Europe,2019,18.36,59.61,44.24,0.0,69.71,252.66,424.89,189.22,0.0,3.85
United Kingdom,Europe,2020,18.61,59.62,43.99,0.0,74.48,255.4,423.99,185.55,0.0,4.24
United Kingdom,Europe,2021,19.6,60.69,44.13,0.0,77.09,257.36,434.74,194.76,0.0,4.8
United Kingdom,Europe,2022,20.17,64.31,47.36,0.0,76.82,255.36,436.76,198.87,0.0,4.88
United Kingdom,Europe,2023,20.25,63.52,46.46,0.0,82.6,257.53,447.9,208.29,0.0,5.47
United Kingdom,Europe,2024,21.4,66.25,48.17,0.0,88.21,260.51,450.93,208.46,0.0,6.21
United Kingdom,Europe,2025,21.0,67.05,49.41,0.0,91.55,266.73,458.45,210.06,0.0,6.23
Norway,Europe,2010,59.16,76.23,20.89,0.0,68.98,104.06,297.67,205.52,0.0,5.41
Norway,Europe,2011,58.65,74.76,19.85,0.0,76.37,107.59,307.36,212.06,0.0,5.49
Norway,Europe,2012,59.49,77.81,22.21,0.0,87.46,105.93,304.75,211.01,0.0,5.13
Norway,Europe,2013,58.03,76.59,22.38,0.0,85.83,107.97,310.53,214.98,0.0,4.83
Norway,Europe,2014,59.24,77.21,21.83,0.0,84.36,111.34,309.02,210.04,0.0,5.06
Norway,Europe,2015,59.04,79.12,24.04,0.0,82.52,106.57,317.51,223.65,0.0,4.63
Norway,Europe,2016,56.96,80.31,27.37,0.0,84.81,107.89,315.05,219.76,0.0,4.31
Norway,Europe,2017,57.94,82.72,28.92,0.0,80.95,108.34,325.06,229.72,0.0,3.88
Norway,Europe,2018,59.72,82.44,26.84,0.0,75.0,108.4,335.82,240.85,0.0,3.36
Norway,Europe,2019,62.1,87.42,29.69,0.0,74.92,108.74,328.63,233.03,0.0,3.97
Norway,Europe,2020,62.13,85.67,27.81,0.0,71.38,111.15,345.17,247.83,0.0,4.46
Norway,Europe,2021,66.06,89.08,27.47,0.0,77.67,110.94,349.47,252.51,0.0,4.23
Norway,Europe,2022,65.86,90.52,29.19,0.0,82.87,116.51,356.79,254.54,0.0,4.87
Norway,Europe,2023,67.49,93.26,30.43,0.0,85.51,114.24,366.09,266.5,0.0,5.58
Norway,Europe,2024,65.87,94.69,33.56,0.0,86.64,116.93,371.75,269.7,0.0,5.74
Norway,Europe,2025,66.08,96.85,35.61,0.0,93.04,120.64,369.59,263.74,0.0,6.66
Germany,Europe,2010,9.79,47.83,40.43,0.0,80.96,341.96,427.76,102.91,0.0,5.81
Germany,Europe,2011,10.15,48.94,41.24,0.0,82.44,349.44,434.9,102.86,0.0,5.57
Germany,Europe,2012,10.13,49.15,41.48,0.0,81.76,355.16,444.89,107.52,0.0,5.44
Germany,Europe,2013,10.25,49.68,41.91,0.0,83.16,360.07,430.32,87.46,0.0,5.08
Germany,Europe,2014,9.8,49.68,42.37,0.0,88.74,352.41,446.49,111.95,0.0,4.87
Germany,Europe,2015,9.92,50.77,43.38,0.0,82.83,363.85,447.82,101.88,0.0,4.71
Germany,Europe,2016,9.99,51.87,44.47,0.0,80.43,358.06,462.97,123.43,0.0,4.25
Germany,Europe,2017,10.01,51.53,44.1,0.0,79.4,349.25,469.49,139.02,0.0,3.78
Germany,Europe,2018,10.13,54.0,46.57,0.0,75.29,345.08,464.41,137.91,0.0,4.32
Germany,Europe,2019,10.38,54.9,47.26,0.0,76.82,351.58,474.44,141.84,0.0,4.06
Germany,Europe,2020,10.7,55.51,47.59,0.0,77.06,360.83,490.61,149.41,0.0,4.49
Germany,Europe,2021,10.65,55.41,47.54,0.0,73.58,367.99,506.33,158.59,0.0,4.2
Germany,Europe,2022,11.22,58.93,50.66,0.0,77.77,377.45,512.59,155.64,0.0,4.92
Germany,Europe,2023,11.44,59.37,50.9,0.0,86.94,368.58,533.0,185.74,0.0,5.95
Germany,Europe,2024,11.44,61.44,53.07,0.0,89.97,386.25,534.23,169.35,0.0,6.33
Germany,Europe,2025,11.79,62.39,53.73,0.0,91.29,394.05,531.23,158.42,0.0,6.46
France,Europe,2010,6.52,47.19,43.03,0.0,75.64,241.96,371.14,144.03,0.0,6.04
France,Europe,2011,6.73,46.74,42.35,0.0,79.46,235.67,371.51,150.7,0.0,5.37
France,Europe,2012,6.74,46.97,42.58,0.0,82.94,248.66,378.31,144.79,0.0,5.61
France,Europe,2013,6.72,47.34,42.98,0.0,83.36,239.56,378.31,153.89,0.0,4.96
France,Europe,2014,6.72,48.22,43.91,0.0,88.45,237.44,383.45,161.35,0.0,5.19
France,Europe,2015,6.73,48.69,44.39,0.0,85.97,240.74,384.42,159.05,0.0,4.66
France,Europe,2016,6.75,50.14,45.89,0.0,82.22,242.99,389.6,162.19,0.0,4.31
France,Europe,2017,6.66,50.11,45.95,0.0,78.71,244.24,399.74,171.49,0.0,4.11
France,Europe,2018,6.76,51.72,47.54,0.0,76.4,244.73,403.91,175.33,0.0,4.32
France,Europe,2019,6.85,51.43,47.15,0.0,75.77,238.22,417.66,196.14,0.0,4.01
France,Europe,2020,7.3,52.31,47.62,0.0,72.29,249.01,434.12,202.48,0.0,4.19
France,Europe,2021,7.29,54.73,50.18,0.0,80.72,250.01,442.75,210.45,0.0,4.58
France,Europe,2022,7.75,56.59,51.66,0.0,79.03,262.87,444.37,199.27,0.0,5.23
France,Europe,2023,8.02,58.31,53.21,0.0,81.57,259.29,460.0,219.11,0.0,5.54
France,Europe,2024,7.81,58.78,53.91,0.0,87.68,269.87,464.74,213.46,0.0,6.27
France,Europe,2025,7.48,60.13,55.66,0.0,90.93,271.75,466.34,213.25,0.0,6.62
Italy,Europe,2010,5.65,47.1,43.8,0.0,73.54,150.5,327.18,189.76,0.0,5.69
Italy,Europe,2011,5.88,46.6,43.05,0.0,74.58,159.52,334.04,187.89,0.0,5.21
Italy,Europe,2012,5.96,47.48,43.9,0.0,83.48,161.15,338.24,190.63,0.0,5.78
Italy,Europe,2013,5.91,47.31,43.77,0.0,88.34,161.54,343.79,196.0,0.0,5.16
Italy,Europe,2014,5.78,47.36,43.95,0.0,84.94,164.17,344.34,193.95,0.0,4.94
Italy,Europe,2015,5.94,49.37,45.9,0.0,86.31,165.76,347.04,195.17,0.0,4.18
Italy,Europe,2016,5.96,49.31,45.82,0.0,81.47,167.62,361.55,208.4,0.0,4.77
Italy,Europe,2017,5.88,49.1,45.67,0.0,78.4,168.2,354.52,200.5,0.0,4.14
Italy,Europe,2018,5.97,50.24,46.78,0.0,81.19,170.3,368.96,213.42,0.0,4.09
Italy,Europe,2019,6.11,50.36,46.76,0.0,75.99,166.82,365.29,213.08,0.0,3.9
Italy,Europe,2020,6.1,53.75,50.34,0.0,74.53,167.29,376.77,224.55,0.0,4.3
Italy,Europe,2021,6.28,54.01,50.44,0.0,76.9,171.28,388.81,233.08,0.0,4.81
Italy,Europe,2022,6.34,54.9,51.31,0.0,79.23,172.06,392.27,235.9,0.0,5.36
Italy,Europe,2023,6.67,57.04,53.22,0.0,83.32,172.55,394.07,237.28,0.0,4.93
Italy,Europe,2024,6.79,54.97,50.92,0.0,88.04,170.24,405.96,251.95,0.0,5.88
Italy,Europe,2025,6.76,59.63,55.86,0.0,91.07,177.16,423.26,263.03,0.0,6.7
Russia,Europe,2010,103.24,102.2,5.11,0.88,74.91,323.29,429.9,123.81,0.0,5.36
Russia,Europe,2011,103.38,102.55,5.13,0.71,78.61,342.82,438.02,112.71,0.0,5.67
Russia,Europe,2012,106.48,105.39,5.27,0.93,85.67,341.93,438.94,114.57,0.0,5.44
Russia,Europe,2013,105.28,106.12,6.14,0.0,85.8,357.24,442.29,102.74,0.0,5.46
Russia,Europe,2014,108.64,107.18,5.36,1.24,85.2,353.14,457.99,123.17,0.0,4.81
Russia,Europe,2015,109.12,109.08,5.45,0.03,84.83,374.74,468.79,112.8,0.0,4.66
Russia,Europe,2016,108.2,108.24,5.45,0.0,82.87,368.11,471.35,122.1,0.0,4.07
Russia,Europe,2017,105.62,110.0,9.89,0.0,81.95,368.43,474.0,124.54,0.0,3.94
Russia,Europe,2018,107.32,111.04,9.27,0.0,76.35,361.59,485.97,143.82,0.0,3.55
Russia,Europe,2019,105.13,110.84,11.26,0.0,74.85,368.21,482.19,133.27,0.0,4.2
Russia,Europe,2020,109.02,114.65,11.37,0.0,69.84,369.81,494.09,144.05,0.0,4.19
Russia,Europe,2021,107.37,116.58,15.04,0.0,79.1,367.82,504.1,156.45,0.0,4.72
Russia,Europe,2022,113.21,119.77,12.55,0.0,81.17,366.41,506.0,159.83,0.0,5.0
Russia,Europe,2023,118.64,122.78,10.28,0.0,84.22,367.05,520.97,174.75,0.0,5.69
Russia,Europe,2024,118.6,123.28,10.84,0.0,84.45,374.15,528.04,175.01,0.0,6.28
Russia,Europe,2025,119.68,126.97,13.64,0.0,87.64,384.4,550.66,188.29,0.0,6.96
Saudi Arabia,Middle East,2010,110.32,106.93,5.35,2.88,74.62,153.87,330.54,189.89,0.0,6.06
Saudi Arabia,Middle East,2011,112.16,109.09,5.45,2.6,76.63,156.28,333.55,190.61,0.0,5.81
Saudi Arabia,Middle East,2012,117.39,108.53,5.43,7.53,82.34,160.92,333.83,186.26,0.0,5.15
Saudi Arabia,Middle East,2013,114.23,109.79,5.49,3.77,83.76,167.48,354.15,200.84,0.0,5.63
Saudi Arabia,Middle East,2014,116.19,110.13,5.51,5.15,86.23,167.32,346.92,193.47,0.0,4.82
Saudi Arabia,Middle East,2015,112.68,109.2,5.46,2.96,83.62,169.1,349.51,194.39,0.0,4.57
Saudi Arabia,Middle East,2016,115.62,112.62,5.63,2.55,86.97,166.34,360.01,208.08,0.0,4.38
Saudi Arabia,Middle East,2017,115.46,115.47,5.78,0.0,81.77,170.87,361.81,205.41,0.0,4.17
Saudi Arabia,Middle East,2018,112.27,116.47,10.02,0.0,80.86,164.4,360.44,210.46,0.0,4.17
Saudi Arabia,Middle East,2019,118.1,117.17,5.86,0.79,75.95,164.72,368.06,218.07,0.0,4.06
Saudi Arabia,Middle East,2020,119.92,119.42,5.97,0.42,76.24,168.6,370.46,216.67,0.0,4.29
Saudi Arabia,Middle East,2021,119.69,122.24,8.67,0.0,80.56,167.87,380.04,227.36,0.0,4.64
Saudi Arabia,Middle East,2022,124.03,122.26,6.11,1.5,76.99,167.39,387.01,235.1,0.0,5.49
Saudi Arabia,Middle East,2023,127.37,130.29,9.44,0.0,82.25,171.96,395.93,239.81,0.0,5.66
Saudi Arabia,Middle East,2024,133.55,127.51,6.38,5.13,86.88,169.51,401.13,247.67,0.0,6.34
Saudi Arabia,Middle East,2025,132.65,133.25,7.27,0.0,91.54,181.19,417.26,252.77,0.0,6.84
United Arab Emirates,Middle East,2010,62.39,76.89,18.34,0.0,75.0,116.1,302.45,198.44,0.0,6.07
United Arab Emirates,Middle East,2011,60.8,76.74,19.77,0.0,78.68,115.01,304.57,201.74,0.0,5.32
United Arab Emirates,Middle East,2012,62.57,77.87,19.19,0.0,81.88,123.07,316.34,205.93,0.0,5.45
United Arab Emirates,Middle East,2013,62.3,77.53,19.1,0.0,85.02,119.49,309.65,202.55,0.0,4.87
United Arab Emirates,Middle East,2014,62.26,80.28,22.03,0.0,82.66,120.84,318.91,210.82,0.0,5.14
United Arab Emirates,Middle East,2015,61.79,81.73,24.03,0.0,84.32,120.24,316.2,208.6,0.0,4.66
United Arab Emirates,Middle East,2016,62.93,82.19,23.38,0.0,82.38,122.89,330.03,220.34,0.0,4.44
United Arab Emirates,Middle East,2017,64.47,85.78,25.59,0.0,83.99,117.76,327.46,222.8,0.0,3.77
United Arab Emirates,Middle East,2018,62.28,85.02,26.99,0.0,75.97,120.74,336.32,229.04,0.0,3.79
United Arab Emirates,Middle East,2019,64.27,86.51,26.56,0.0,77.91,124.47,344.11,233.4,0.0,3.92
United Arab Emirates,Middle East,2020,66.58,88.73,26.58,0.0,70.58,116.39,343.79,241.15,0.0,3.72
United Arab Emirates,Middle East,2021,67.44,93.08,30.3,0.0,77.16,122.58,362.28,254.2,0.0,4.86
United Arab Emirates,Middle East,2022,69.44,94.33,29.61,0.0,80.1,126.07,361.85,250.25,0.0,5.28
United Arab Emirates,Middle East,2023,71.09,94.47,28.1,0.0,83.29,125.06,372.68,262.53,0.0,5.46
United Arab Emirates,Middle East,2024,72.44,98.28,30.76,0.0,90.04,131.59,387.51,271.42,0.0,5.92
United Arab Emirates,Middle East,2025,74.4,98.62,29.15,0.0,90.05,135.84,388.93,268.64,0.0,6.14
Iran,Middle East,2010,68.63,81.69,17.14,0.0,73.01,195.6,358.95,177.7,0.0,5.78
Iran,Middle East,2011,70.0,83.7,17.89,0.0,83.66,200.78,358.16,171.71,0.0,5.58
Iran,Middle East,2012,73.34,85.32,16.25,0.0,82.79,205.95,361.63,170.15,0.0,5.52
Iran,Middle East,2013,72.18,86.63,18.78,0.0,89.07,209.73,371.01,176.12,0.0,5.63
Iran,Middle East,2014,72.88,86.99,18.46,0.0,84.46,208.91,372.98,178.99,0.0,5.33
Iran,Middle East,2015,73.39,87.04,18.01,0.0,80.07,216.83,367.37,165.24,0.0,4.77
Iran,Middle East,2016,72.53,88.31,20.19,0.0,88.03,209.92,381.39,186.73,0.0,4.46
Iran,Middle East,2017,72.23,88.53,20.73,0.0,80.92,213.3,376.09,177.83,0.0,4.25
Iran,Middle East,2018,70.33,89.47,23.61,0.0,77.74,210.73,386.17,190.88,0.0,3.44
Iran,Middle East,2019,73.3,92.47,23.79,0.0,73.2,213.34,384.08,186.1,0.0,4.35
Iran,Middle East,2020,70.82,92.96,26.79,0.0,73.42,210.23,405.44,211.43,0.0,4.39
Iran,Middle East,2021,76.35,97.4,25.92,0.0,72.42,213.72,409.71,212.38,0.0,4.96
Iran,Middle East,2022,76.95,96.78,24.67,0.0,79.28,215.42,407.03,207.88,0.0,5.38
Iran,Middle East,2023,80.3,97.77,22.35,0.0,77.78,217.18,426.14,226.01,0.0,5.39
Iran,Middle East,2024,82.81,102.26,24.56,0.0,88.01,222.07,440.14,235.68,0.0,6.33
Iran,Middle East,2025,86.33,103.85,22.72,0.0,92.18,222.15,441.45,236.96,0.0,6.46
Iraq,Middle East,2010,57.99,79.0,24.96,0.0,77.29,113.66,302.68,201.13,0.0,5.67
Iraq,Middle East,2011,60.12,78.22,22.02,0.0,84.09,113.82,311.16,209.79,0.0,5.82
Iraq,Middle East,2012,60.94,77.91,20.86,0.0,81.97,117.82,313.01,207.71,0.0,5.77
Iraq,Middle East,2013,60.06,79.81,23.74,0.0,82.41,119.76,319.26,212.27,0.0,5.6
Iraq,Middle East,2014,62.7,80.53,21.85,0.0,86.97,118.98,324.77,218.78,0.0,4.53
Iraq,Middle East,2015,61.13,80.67,23.57,0.0,85.84,123.49,326.02,215.57,0.0,4.94
Iraq,Middle East,2016,61.84,78.39,20.46,0.0,78.64,122.15,328.59,219.58,0.0,4.28
Iraq,Middle East,2017,61.69,81.19,23.56,0.0,78.6,123.31,329.76,219.65,0.0,4.41
Iraq,Middle East,2018,60.34,84.04,27.9,0.0,79.11,119.08,345.56,240.31,0.0,3.91
Iraq,Middle East,2019,62.22,83.7,25.67,0.0,75.19,124.59,341.73,230.81,0.0,3.92
Iraq,Middle East,2020,62.51,87.66,29.53,0.0,75.09,123.06,351.38,242.38,0.0,4.41
Iraq,Middle East,2021,64.38,91.27,31.46,0.0,79.55,120.29,360.17,254.29,0.0,4.45
Iraq,Middle East,2022,68.84,92.05,27.81,0.0,78.16,126.15,361.61,249.93,0.0,5.09
Iraq,Middle East,2023,68.67,94.62,30.69,0.0,84.54,126.43,364.65,252.81,0.0,5.89
Iraq,Middle East,2024,70.19,95.95,30.56,0.0,84.67,127.9,372.09,259.08,0.0,5.76
Iraq,Middle East,2025,70.45,96.91,31.3,0.0,87.96,130.41,370.59,255.0,0.0,6.88
Kuwait,Middle East,2010,49.11,72.89,27.43,0.0,74.64,73.44,291.73,229.96,0.0,5.77
Kuwait,Middle East,2011,52.93,75.07,25.89,0.0,78.5,77.0,290.01,224.61,0.0,5.83
Kuwait,Middle East,2012,52.38,74.3,25.64,0.0,88.66,81.32,296.49,227.02,0.0,5.57
Kuwait,Middle East,2013,54.79,75.73,24.72,0.0,83.09,82.71,298.62,227.86,0.0,5.39
Kuwait,Middle East,2014,54.58,76.07,25.29,0.0,82.39,81.54,300.23,230.7,0.0,4.49
Kuwait,Middle East,2015,53.85,77.63,27.66,0.0,84.63,84.34,300.52,228.2,0.0,4.53
Kuwait,Middle East,2016,55.13,75.84,24.5,0.0,84.15,84.66,318.82,246.91,0.0,4.39
Kuwait,Middle East,2017,53.16,78.19,28.93,0.0,82.47,86.58,312.85,238.78,0.0,3.69
Kuwait,Middle East,2018,53.12,78.9,29.72,0.0,76.05,84.92,319.41,247.26,0.0,3.69
Kuwait,Middle East,2019,52.74,78.72,29.93,0.0,77.48,86.07,318.83,245.52,0.0,3.75
Kuwait,Middle East,2020,53.19,80.46,31.29,0.0,74.58,87.24,328.72,254.63,0.0,4.41
Kuwait,Middle East,2021,53.02,82.54,33.65,0.0,76.3,88.06,332.49,257.73,0.0,4.8
Kuwait,Middle East,2022,56.94,82.28,29.45,0.0,76.92,83.5,337.83,267.84,0.0,5.47
Kuwait,Middle East,2023,57.49,84.17,30.88,0.0,81.89,84.5,331.21,259.96,0.0,5.62
Kuwait,Middle East,2024,58.86,89.26,34.86,0.0,81.51,88.57,347.85,273.2,0.0,6.32
Kuwait,Middle East,2025,60.89,90.42,34.05,0.0,96.1,89.58,350.14,274.56,0.0,6.36
Qatar,Middle East,2010,15.1,49.96,37.35,0.0,74.35,490.2,516.72,47.19,0.0,5.91
Qatar,Middle East,2011,15.2,51.34,38.71,0.0,74.86,516.21,512.42,20.5,3.03,5.5
Qatar,Middle East,2012,15.34,52.06,39.33,0.0,81.46,499.93,515.64,36.34,0.0,5.45
Qatar,Middle East,2013,14.85,51.88,39.62,0.0,87.25,509.94,531.45,42.76,0.0,5.24
Qatar,Middle East,2014,14.97,52.92,40.6,0.0,83.61,510.74,525.98,36.29,0.0,4.77
Qatar,Middle East,2015,14.7,53.63,41.61,0.0,85.17,522.73,530.33,28.81,0.0,4.51
Qatar,Middle East,2016,15.01,54.37,42.08,0.0,83.09,505.1,540.34,56.85,0.0,4.51
Qatar,Middle East,2017,14.53,55.63,43.87,0.0,81.65,525.01,556.5,53.75,0.0,3.86
Qatar,Middle East,2018,15.25,55.47,43.0,0.0,75.14,498.1,573.73,98.59,0.0,3.85
